bacteria_name,scaffold_name,value
nsp,profile_length,8
nsp,share_generally,True
nsp,generosity,0.0
nsp,generosity_mag,0.0
nsp,trusting,0.0
nsp,trusting_mag,0.0
nsp,attacker,0.0
nsp,attack_mag,0.0
nsp,split_thrs,1.0
nsp,vulnerability_to_poison,2.0
nsp,molecule_A,0.0
nsp,molecule_B,0.0
nsp,molecule_C,0.0
nsp,poison,0.0
nsp,poison_vacuole,0.0
nsp,poison_vacuole_max,2.0
csp,profile_length,8
csp,share_generally,True
csp,generosity,1.0
csp,generosity_mag,1.0
csp,trusting,0.0
csp,trusting_mag,0.0
csp,attacker,0.0
csp,attack_mag,0.0
csp,split_thrs,1.0
csp,vulnerability_to_poison,2.0
csp,molecule_A,0.0
csp,molecule_B,0.0
csp,molecule_C,0.0
csp,poison,0.0
csp,poison_vacuole,0.0
csp,poison_vacuole_max,2.0
ntp,profile_length,8
ntp,share_generally,True
ntp,generosity,0.0
ntp,generosity_mag,0.0
ntp,trusting,1.0
ntp,trusting_mag,1.0
ntp,attacker,0.0
ntp,attack_mag,0.0
ntp,split_thrs,1.0
ntp,vulnerability_to_poison,2.0
ntp,molecule_A,0.0
ntp,molecule_B,0.0
ntp,molecule_C,0.0
ntp,poison,0.0
ntp,poison_vacuole,0.0
ntp,poison_vacuole_max,2.0
ctp,profile_length,8
ctp,share_generally,True
ctp,generosity,1.0
ctp,generosity_mag,1.0
ctp,trusting,1.0
ctp,trusting_mag,1.0
ctp,attacker,0.0
ctp,attack_mag,0.0
ctp,split_thrs,1.0
ctp,vulnerability_to_poison,2.0
ctp,molecule_A,0.0
ctp,molecule_B,0.0
ctp,molecule_C,0.0
ctp,poison,0.0
ctp,poison_vacuole,0.0
ctp,poison_vacuole_max,2.0
nsb,profile_length,8
nsb,share_generally,True
nsb,generosity,0.0
nsb,generosity_mag,0.0
nsb,trusting,0.0
nsb,trusting_mag,0.0
nsb,attacker,1.0
nsb,attack_mag,1.0
nsb,split_thrs,1.0
nsb,vulnerability_to_poison,2.0
nsb,molecule_A,0.0
nsb,molecule_B,0.0
nsb,molecule_C,0.0
nsb,poison,0.0
nsb,poison_vacuole,0.0
nsb,poison_vacuole_max,2.0
csb,profile_length,8
csb,share_generally,True
csb,generosity,1.0
csb,generosity_mag,1.0
csb,trusting,0.0
csb,trusting_mag,0.0
csb,attacker,1.0
csb,attack_mag,1.0
csb,split_thrs,1.0
csb,vulnerability_to_poison,2.0
csb,molecule_A,0.0
csb,molecule_B,0.0
csb,molecule_C,0.0
csb,poison,0.0
csb,poison_vacuole,0.0
csb,poison_vacuole_max,2.0
ntb,profile_length,8
ntb,share_generally,True
ntb,generosity,0.0
ntb,generosity_mag,0.0
ntb,trusting,1.0
ntb,trusting_mag,1.0
ntb,attacker,1.0
ntb,attack_mag,1.0
ntb,split_thrs,1.0
ntb,vulnerability_to_poison,2.0
ntb,molecule_A,0.0
ntb,molecule_B,0.0
ntb,molecule_C,0.0
ntb,poison,0.0
ntb,poison_vacuole,0.0
ntb,poison_vacuole_max,2.0
ctb,profile_length,8
ctb,share_generally,True
ctb,generosity,1.0
ctb,generosity_mag,1.0
ctb,trusting,1.0
ctb,trusting_mag,1.0
ctb,attacker,1.0
ctb,attack_mag,1.0
ctb,split_thrs,1.0
ctb,vulnerability_to_poison,2.0
ctb,molecule_A,0.0
ctb,molecule_B,0.0
ctb,molecule_C,0.0
ctb,poison,0.0
ctb,poison_vacuole,0.0
ctb,poison_vacuole_max,2.0
